5286,6121 0,874241521755035
5287,0225 0,872040635571295
5287,433 0,855934446188812
5287,8435 0,860955914476926
5288,2542 0,859485956707044
5288,665 0,871103715951868
5289,0758 0,875469503856783
5289,4868 0,871081470172643
5289,8978 0,884352743529933
5290,3089 0,901367301055667
5290,7201 0,90025305834795
5291,1314 0,883701804450717
5291,5427 0,873526771769227
5291,9542 0,868333215280837
5292,3658 0,872408855317887
5292,7774 0,85667714571243
5293,1891 0,849738813927401
5293,6009 0,864589485938958
5294,0128 0,85179144553709
5294,4248 0,840085293295185
5294,8369 0,824688736918608
5295,249 0,806838924692236
5295,6613 0,784068573937464
5296,0736 0,74209068636079
5296,4861 0,700754962823639
5296,8986 0,682689722967785
5297,3112 0,679834405723878
5297,7239 0,685507669198008
5298,1366 0,706450314605418
5298,5495 0,730266615476086
5298,9624 0,762094059215384
5299,3755 0,776287545547614
5299,7886 0,75889896430891
5300,2018 0,742944393790565
5300,6151 0,724015325977539
5301,0285 0,694456274143941
5301,442 0,704780757358388
5301,8555 0,733359689108195
5302,2692 0,795229393752367
5302,6829 0,830867457548186
5303,0967 0,859267896170657
5303,5106 0,87159361293953
5303,9246 0,895401408251876
5304,3387 0,889392948454466
5304,7529 0,89808359279536
5305,1672 0,894300113694845
5305,5815 0,878306505659517
5305,9959 0,882037771052545
5306,4105 0,855965955826445
5306,8251 0,862016814912322
5307,2398 0,849687049793347
5307,6546 0,87391769090306
5308,0694 0,882959170036015
5308,4844 0,891952600916287
5308,8994 0,908363112336968
5309,3146 0,911213293971911
5309,7298 0,919524784216968
5310,1451 0,909586420702557
5310,5605 0,91250255603069
5310,976 0,912464574066389
5311,3915 0,905133964589527
5311,8072 0,897900833520879
5312,2229 0,890003723003789
5312,6388 0,889707768703492
5313,0547 0,884630027781439
5313,4707 0,871219931502707
5313,8868 0,876341016312687
5314,303 0,877113705505935
5314,7192 0,873733026190567
5315,1356 0,853525150871361
5315,552 0,841241882937124
5315,9686 0,846809294968133
5316,3852 0,846946644409801
5316,8019 0,843950574178794
5317,2187 0,854642924328784
5317,6355 0,856965703745336
5318,0525 0,862924608580631
5318,4696 0,852683504188061
5318,8867 0,869710441532135
5319,3039 0,866395871925085
5319,7212 0,855289266687136
5320,1386 0,857587749676156
5320,5561 0,84888414942797
5320,9737 0,842706751961123
5321,3913 0,841866232074973
5321,8091 0,829520705441668
5322,2269 0,815760876891689
5322,6449 0,791048783843061
5323,0629 0,767851637376174
5323,481 0,747804288750293
5323,8991 0,742873890888529
5324,3174 0,751747203834033
5324,7358 0,766063654733068
5325,1542 0,77477303581095
5325,5727 0,782364083196752
5325,9914 0,765822047484655
5326,4101 0,715942011469172
5326,8289 0,667421416282429
5327,2477 0,626179325922357
5327,6667 0,601595884614308
5328,0858 0,599242429508942
5328,5049 0,625090234241837
5328,9241 0,67595897714251
5329,3434 0,730401762481732
5329,7628 0,778322105385421
5330,1823 0,817103951200765
5330,6019 0,848929044463646
5331,0216 0,859619502955518
5331,4413 0,84962074418787
5331,8611 0,850951715127558
5332,2811 0,840126010274089
5332,7011 0,846861942661261
5333,1212 0,849591967272221
5333,5414 0,882328276411984
5333,9616 0,889231502092998
5334,382 0,901882366949201
5334,8024 0,900745129277012
5335,223 0,908942258453933
5335,6436 0,903000698750493
5336,0643 0,888488049133833
